sku,image 1,image 2,image 3,image 1 result,image 2 result,image 3 result,image 1 confidence,image 2 confidence,image 3 confidence
BA16100PK,https://www.mumzworld.com/media/catalog/product/b/a/ba16100pk-baby-aspen-trendy-baby-here-comes-trouble-outfit-2pcs-15168694691.jpg,https://www.mumzworld.com/media/catalog/product/b/a/ba16100pk-baby-aspen-trendy-baby-here-comes-trouble-outfit-2pcs-15168694690.jpg,https://www.mumzworld.com/media/catalog/product/b/a/ba16100pk-baby-aspen-trendy-baby-here-comes-trouble-outfit-2pcs-1516869469.jpg,NO,NO,NO,0,0.2,0
GCT-106442,https://www.mumzworld.com/media/catalog/product/g/c/gct-106442-buff-philippines-flag-tubular-buff-1516885339.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
GCT-109334.00,https://www.mumzworld.com/media/catalog/product/g/c/gct-109334.00-buff-original-france-flag-1516885339.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
GCT-109335.00,https://www.mumzworld.com/media/catalog/product/g/c/gct-109335.00-buff-south-africa-flag-original-buff-1516885339.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
GCT-109336.00,https://www.mumzworld.com/media/catalog/product/g/c/gct-109336.00-buff-usa-flag-original-buff-1516885339.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
GCT-110549.00,https://www.mumzworld.com/media/catalog/product/g/c/gct-110549.00-buff-original-shemagh-black-1516885339.jpg,,,NO,ERROR - No image,ERROR - No image,0.2,0,0
PTC-50-0054,https://www.mumzworld.com/media/catalog/product/p/t/ptc-50-0054-meri-meri-lips-hair-pins-1517746922.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
PTC-50-0049,https://www.mumzworld.com/media/catalog/product/p/t/ptc-50-0049-meri-meri-heart-arrow-necklace-1517746923.jpg,,,NO,ERROR - No image,ERROR - No image,0.2,0,0
PTC-50-0038,https://www.mumzworld.com/media/catalog/product/p/t/ptc-50-0038-meri-meri-lips-necklace-1517746923.jpg,,,NO,ERROR - No image,ERROR - No image,0.2,0,0
PTC-50-0240,https://www.mumzworld.com/media/catalog/product/p/t/ptc-50-0240-meri-meri-valentines-enamel-pins-1517746923.jpg,,,NO,ERROR - No image,ERROR - No image,0.2,0,0
TC-BBTNOAH54002101,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtnoah54002101-pluchi-noah-mini-blanket-with-elephant-toy-blue-15180778273.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtnoah54002101-pluchi-noah-mini-blanket-with-elephant-toy-blue-15180778272.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtnoah54002101-pluchi-noah-mini-blanket-with-elephant-toy-blue-15180778271.jpg,NO,NO,NO,0,0,0
TC-BBTSPH83002101,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtsph83002101-pluchi-sophia-mini-blanket-with-elephant-toy-pink-15180778284.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtsph83002101-pluchi-sophia-mini-blanket-with-elephant-toy-pink-15180778283.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtsph83002101-pluchi-sophia-mini-blanket-with-elephant-toy-pink-15180778282.jpg,NO,NO,NO,0,0,0
TC-BBTJMS53102,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtjms53102-pluchi-james-skinny-blanket-with-bear-toy-grey-15180778284.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtjms53102-pluchi-james-skinny-blanket-with-bear-toy-grey-15180778283.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtjms53102-pluchi-james-skinny-blanket-with-bear-toy-grey-15180778282.jpg,NO,NO,NO,0,0,0
TC-BBTZOEY47101,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtzoey47101-pluchi-zoey-skinny-blanket-with-bear-toy-pink-15180778283.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtzoey47101-pluchi-zoey-skinny-blanket-with-bear-toy-pink-15180778282.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-bbtzoey47101-pluchi-zoey-skinny-blanket-with-bear-toy-pink-15180778281.jpg,NO,NO,NO,0,0,0
TC-PPD7042,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7042-disney-mickey-peva-bib-blue-15186972692.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7042-disney-mickey-peva-bib-blue-15186972691.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7042-disney-mickey-peva-bib-blue-15186972690.jpg,NO,NO,NO,0,0,0
TC-PPD7043,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7043-disney-minnie-peva-bib-pink-15186972691.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7043-disney-minnie-peva-bib-pink-15186972690.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7043-disney-minnie-peva-bib-pink-15186971801.jpg,NO,NO,NO,0.8,0.4,0.8
TC-PPD7044,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7044-disney-mickey-sleeved-bib-blue-15186972691.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7044-disney-mickey-sleeved-bib-blue-15186972690.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7044-disney-mickey-sleeved-bib-blue-15186971801.jpg,NO,NO,NO,0.8,0,0.8
TC-PPD7045,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7045-disney-minnie-sleeved-bib-pink-15186972691.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7045-disney-minnie-sleeved-bib-pink-15186972690.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7045-disney-minnie-sleeved-bib-pink-15186971801.jpg,YES,YES,YES,0.95,0.95,0.95
TC-PPD7135,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7135-disney-mickey-disposable-bibs-8pcs-white-16824976672.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7135-disney-mickey-disposable-bibs-8pcs-white-16824976671.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7135-disney-mickey-disposable-bibs-8pcs-white-16824976670.jpg,NO,NO,NO,0,0.2,0.4
TC-PPD7136,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7136-disney-minnie-disposable-bibs-8-pack-white-15186972692.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7136-disney-minnie-disposable-bibs-8-pack-white-15186972691.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-ppd7136-disney-minnie-disposable-bibs-8-pack-white-15186972690.jpg,NO,NO,NO,0,0.6000000000000001,0
CAP-34-IR6002-2-4Y,https://www.mumzworld.com/media/catalog/product/c/a/cap-34-ir6002-2-4y__-gymcare-avenger-ironman-suit-2-4y-15189414210.jpg,https://www.mumzworld.com/media/catalog/product/c/a/cap-34-ir6002-2-4y__-gymcare-avenger-ironman-suit-2-4y-1518941421.jpg,,NO,NO,ERROR - No image,0,0,0
CAP-CA-0001-4-6Y,https://www.mumzworld.com/media/catalog/product/c/a/cap-ca-0001-4-6y_____-gymcare-captain-america-kids-shirt-4-6y-15189414250.jpg,https://www.mumzworld.com/media/catalog/product/c/a/cap-ca-0001-4-6y_____-gymcare-captain-america-kids-shirt-4-6y-1518941425.jpg,,NO,NO,ERROR - No image,0,0,0
HT-103429,https://www.mumzworld.com/media/catalog/product/h/t/ht-103429-elli-junior-tender-bib-blue-15192993210.jpg,https://www.mumzworld.com/media/catalog/product/h/t/ht-103429-elli-junior-tender-bib-blue-1519299321.jpg,,NO,NO,ERROR - No image,0,0,0
HT-103454,https://www.mumzworld.com/media/catalog/product/h/t/ht-103454-elli-junior-embedding-bloom-dry-bib-15192993211.jpg,https://www.mumzworld.com/media/catalog/product/h/t/ht-103454-elli-junior-embedding-bloom-dry-bib-15192993210.jpg,https://www.mumzworld.com/media/catalog/product/h/t/ht-103454-elli-junior-embedding-bloom-dry-bib-1519299321.jpg,NO,NO,NO,0,0,0
PTC-DJ06660,https://www.mumzworld.com/media/catalog/product/p/t/ptc-dj06660-djeco-flowers-butterflies-15195647560.jpg,https://www.mumzworld.com/media/catalog/product/p/t/ptc-dj06660-djeco-flowers-butterflies-1519564756.jpg,,NO,NO,ERROR - No image,0,0,0
CSW-5346,https://www.mumzworld.com/media/catalog/product/3/2/3237-config_1_1.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
MHF-D03E-SS0-01U,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d03e-ss0-01u-me-handprinted-organic-muslin-swaddle-elephant-white-15225805731.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d03e-ss0-01u-me-handprinted-organic-muslin-swaddle-elephant-white-15225805730.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d03e-ss0-01u-me-handprinted-organic-muslin-swaddle-elephant-white-1522580573.jpg,NO,NO,NO,0,0.2,0
MHF-D01S-GS0-01U,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d01s-gs0-01u-me-handprinted-organic-muslin-swaddle-star-white-15225805742.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d01s-gs0-01u-me-handprinted-organic-muslin-swaddle-star-white-15225805741.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d01s-gs0-01u-me-handprinted-organic-muslin-swaddle-star-white-15225805740.jpg,NO,NO,NO,0,0,0.2
MHF-D07C-GS0-01U,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d07c-gs0-01u-me-handprinted-organic-muslin-swaddle-camel-white-15225805741.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d07c-gs0-01u-me-handprinted-organic-muslin-swaddle-camel-white-15225805740.jpg,https://www.mumzworld.com/media/catalog/product/m/h/mhf-d07c-gs0-01u-me-handprinted-organic-muslin-swaddle-camel-white-1522580574.jpg,NO,NO,NO,0,0,0
LGSF-FN005SF,https://www.mumzworld.com/media/catalog/product/0/7/07_skandimono.jpg,https://www.mumzworld.com/media/catalog/product/0/8/08_skandimono.jpg,https://www.mumzworld.com/media/catalog/product/1/0/10_skandimono2.jpg,NO,NO,NO,0.6000000000000001,0,0.2
TATA-PMS2200,https://www.mumzworld.com/media/catalog/product/t/r/tr68.jpg,https://www.mumzworld.com/media/catalog/product/t/r/tr67.jpg,https://www.mumzworld.com/media/catalog/product/t/r/tr55_1_.jpg,NO,NO,NO,0,0,0
UTN-I3-1139,https://www.mumzworld.com/media/catalog/product/u/t/utn-i3-1139-under-the-nile-swaddle-blanket-jungle-15235133490.jpg,https://www.mumzworld.com/media/catalog/product/u/t/utn-i3-1139-under-the-nile-swaddle-blanket-jungle-1523513349.jpg,,NO,NO,ERROR - No image,0,0,0
UTN-I3-1283,https://www.mumzworld.com/media/catalog/product/u/t/utn-i3-1283-under-the-nile-swaddle-blanket-stork-embroidery-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-I20-1332,https://www.mumzworld.com/media/catalog/product/u/t/utn-i20-1332-under-the-nile-muslin-swaddle-starry-night-pink-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-I20-1333,https://www.mumzworld.com/media/catalog/product/u/t/utn-i20-1333-under-the-nile-muslin-swaddle-starry-night-blue-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-I20-1334,https://www.mumzworld.com/media/catalog/product/u/t/utn-i20-1334-under-the-nile-muslin-swaddle-starry-night-grey-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-I20-1335,https://www.mumzworld.com/media/catalog/product/u/t/utn-i20-1335-under-the-nile-muslin-swaddle-white-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
